Language	FB / OT / NT	ISO Code	Country Spoken	Year Published	
Afar	FB	aar	Ethiopia	2023
Akan- Akuapem Twi- Contemporary Version*	FB	twi (aka)	Ghana	2021
Akan- Asante Twi- Contemporary Version*	FB	twi (aka)	Ghana	2021
Akan- Asante Twi	FB	twi (aka)	Ghana	2024
Alur	FB	alz	Democratic Republic of Congo	2024
Assamese	FB	asm	India	2022
Ateso	FB	teo	Uganda	2019
Azerbaijani North	FB	azj	Azerbaijan	2024
Bemba	FB	bem	Zambia	2016
Bengali IRV	FB	ben	India	2022
Bengali- Contemporary Version*	FB	ben	India	2022
Bugis	FB	bug	Indonesia	2023
Chewa	FB	nya	Zambia	2015
Chewa-Nyanja	FB	nya	Malawi	2023
Dagbani	FB	dag	Ghana	2021
Dawro	FB	dwr	Ethiopia	2018
Dholuo (Luo)-Biblica Open New Luo Translation	FB	dho	Kenya	2021
Ebira	FB	igb	Nigeria	2020
Efik	FB	efi	Nigeria	2019
Egyptian Arabic*	FB	arz	Egypt	2021
Ekegusii	FB	guz	Kenya	2021
English Protestant	FB	eng	Worldwide	2015
English Catholic	FB	eng	Worldwide	2015
Ewe*	FB	ewe	Ghana	2021
Ewe*	FB	ewe	Togo	2024
French Parole de Vie	FB	fra	West Africa	2020
Fulfulde Adamwa	FB	fub	Cameroon	2023
Gamo	FB	gmv	Ethiopia	2018
Ganda	FB	lug	Uganda	2014
Ganda Revised	FB	lug	Uganda	2023
Gofa	FB	gof	Ethiopia	2018
Gonja	FB	gjn	Ghana	2023
Gujarti	FB	guj	India	2021
Hausa-Contemporary Version*	FB	hau	Nigeria	2020
Hiligaynon	FB	hil	Philippines	2025
Hindi- Contemporary Version*	FB	hin	India	2022
Igbo*	FB	ibo	Nigeria	2019
Igbo- Biblica Open Igbo Contemporary Bible	FB	ibo	Nigeria	2022
Igikuria	FB	kuj	Tanzania	2022
Indonesian	FB	ind	Indonesia	2017
Iranian Persian (Farsi)*	FB	pes	Iran	2014
Iranian Persian (Farsi)- Persian Contemporary Bible	FB	pes	Iran	2020
Javanese	FB	jav	Indonesia	2017
Kalenjin	FB	kln	Kenya	2021
Kamba	FB	kam	Kenya	2020
Kannada	FB	kan	India	2022
Kannada- Contemporary Version*	FB	kan	India	2024
Khmer	FB	khm	Cambodia	2024
Kurdish Sorani*	FB	ckb	Iraq	2020
Lambya	FB	lai	Malawi	2025
Lingala*	FB	lin	Democratic Republic of Congo	2021
Lozi	FB	loz	Zambia	2020
Lusamia Lugwe	FB	lsm	Uganda	2020
Maale	FB	mdy	Ethiopia	2017
Listen
Maasai	FB	mas	Kenya	2020
Malayalam	FB	mal	India	2022
Malayalam- Contemporary Version*	FB	mal	India	2022
Marathi	FB	mar	India	2022
Mongolian	FB	mon	Mongolia	2017
Ndau	FB	ndc	Mozambique	2014
Ndebele*	FB	nde	Zimbabwe	2023
Ngambay	FB	sba	Chad	2019
Nyakyusa-Ngonde	FB	nyy	Malawi	2024
Nyankore (Runyankore-Rukiga)	FB	nyn	Uganda	2017
Nyoro (Runyoro Rutooro)	FB	ttj	Uganda	2017
Odia	FB	ory	India	2021
Oromo-West Contemporary*	FB	gaz	Ethiopia	2023
Portuguese (Brazilian)*	FB	por	Brazil	2025
Punjabi	FB	pan	India	2021
Quichua Imbabura Highland	FB	qvi	Ecuador	2024
Romanian*	FB	ron	Romania	2023
Russian (CARS- Central Asian Russian Sciptures)*	FB	rus	Russia & surrounding countries	2023
Russian (CARS- A- Central Asian Russian Sciptures)*	FB	rus	Russia & surrounding countries	2024
Soga (Lusoga)	FB	xog	Uganda	2020
Sundanese	FB	sun	Indonesia	2018
Susu	FB	sus	Guinea	2018
Tamil- IRV	FB	tam	India	2021
Tamil- Contemporary*	FB	tam	India	2024
Tatar	FB	tat	Russia	2018
Telugu	FB	tel	India	2022
Tonga	FB	tog	Malawi	2024
Tonga	FB	toi	Zambia	2021
Tumbuka	FB	tum	Malawi	2024
Turkana	FB	tuv	Kenya	2018
Urdu	FB	urd	India	2022
Vietnamese*	FB	vie	Vietnam	2020
Yao	FB	yah	Malawi	2015
Yoruba	FB	yor	Nigeria	2019
Yoruba- Contemporary Version*	FB	yor	Nigeria	2021
Ahirani	NT	ahr	India	2022
Baghlayani	NT	bfz	India	2022
Bareli Pauri (v2)	NT	bfb	India	2023
Bhadrawahi	NT	bhd	India	2021
Bhattiyali	NT	bht	India	2022
Bilaspuri	NT	kfs	India	2021
Bodo Parja	NT	bdv	India	2023
Borna	NT	bwo	Ethiopia	2016
Chambeali	NT	cdh	India	2022
Churahi	NT	cdj	India	2022
Creole	NT	pov	Guinea-Bissau	2022
Deukhuri Tharu	NT	thl	Nepal	2023
Dhatki	NT	mki	Pakistan	2024
Dhimal	NT	dhi	India	2022
Dogri	NT	dgo	India	2021
Dotyali	NT	dty	Nepal	2022
Dubli	NT	dub	India	2023
Duruma	NT	dug	Kenya	2017
Ewondo	NT	ewo	Cameroon	2023
Fulfulde	NT	fue	Benin	2017
Gaddi	NT	gbk	India	2021
Gamit	NT	gbl	India	2022
Garasia Adivasi	NT	gas	India	2022
Garwali	NT	gbm	India	2021
Gowli	NT	gok	India	2023
Halbi	NT	hlb	India	2023
Haryanvi	NT	bgc	India	2020
Ila	NT	ilb	Zambia	2021
Inner Seraji	NT	kfx	India	2022
Kangri	NT	xnr	India	2021
Kayort/Kewat	NT	kyv	India/Nepal	2022
Koli Wadiyari	NT	kxp	India	2022
Kulvi	NT	kfx	India	2022
Kutu	NT	kdc	Tanzania	2016
Kwere	NT	cwe	Tanzania	2016
Ladakhi	NT	lbj	India	2022
Lahuali	NT	lbf	India	2022
Lolo	NT	llb	Mozambique	2018
Lowa	NT	loy	Nepal	2023
Luguru	NT	ruf	Tanzania	2014
Makonde	NT	kde	Tanzania	2014
Makua	NT	vmw	Mozambique	2015
Mandeali	NT	mjl	India	2021
Matengo	NT	mgv	Tanzania	2024
Melo	NT	mfx	Ethiopia	2018
Mpoto	NT	mpa	Tanzania	2024
Munda	NT	unx	India	2023
Nagamese	NT	nag	India	2022
Nahali	NT	nlx	India	2023
Naro	NT	nhr	Botswana	2012
Ndamba	NT	ndj	Tanzania	2014
Ndendeule	NT	dne	Tanzania	2024
Ngindo	NT	nnq	Tanzania	2015
Ngulu (Nguu)	NT	ngp	Tanzania	2015
Noiri	NT	noi	India	2023
Nsenga	NT	nse	Zambia	2018
Nsenga Contemporary	NT	nse	Zambia	2021
Otoro	NT	nyn	Sudan	2023
Otuho	NT	lot	South Sudan	2023
Outer Seraji	NT	kfx	India	2022
Mahasu Pahari	NT	bfz	India	2021
Pashto Northern	NT	pbu	Pakistan	2018
Pengo Parja	NT	peg	India	2023
Pogolo (Pogoro)	NT	poy	Tanzania	2014
Punjabi	NT	pnb	Pakistan	2021
Rana Tharu	NT	thr	India	2023
Sadri	NT	sck	India	2023
Sagalla	NT	tga	Kenya	2022
Sirmouri	NT	srx	India	2022
Soli	NT	sbv	Zambia	2018
Soriyali (Kumaoni, Eastern)	NT	kfy	India	2021
Surgujia	NT	sgj	India	2023
Varhadi Nagpuri	NT	vah	India	2022
Vidunda	NT	vid	Tanzania	2015
Yemsa	NT	jnj	Ethiopia	2019
Zaramo	NT	zaj	Tanzania	2020
Zigula (Zigua)	NT	zig	Tanzania	2015
Ukrainian*	NT + Psalms	ukr	Ukraine	2023
Acholi	OT	ach	Uganda	2021
Baatonum	OT	bba	Benin	2023
Bali	OT	ban	Indonesia	2022
Bari	OT	bfa	South Sudan	2022
Batad Ifugao	OT	ifb	Philippines	2023
Batak Toba	OT	bbc	Indonesia	2020
Bimoba	OT	bim	Ghana	2024
Borana	OT	gax	Kenya	2021
Bukusu (Lubukusu)	OT	bxk	Kenya	2021
Bulu	OT	bum	Cameroon	2023
Bura	OT	bwr	Nigeria	2023
Cebaara Senoufo	OT	sef	Ivory Coast	2024
Chadian Arabic	OT	shu	Chad	2021
Chol	OT	ctu	Mexico	2023
Cigogo	OT	gog	Tanzania	2022
Dagara	OT	dgi	Burkina Faso	2023
Datooga	OT	tcc	Tanzania	2021
Dayak Ngaju	OT	nij	Indonesia	2022
Dholuo (Luo)*	OT	dho	Kenya	2020
Dhopadhola	OT	adh	Uganda	2022
Dinka Padang	OT	dip	South Sudan	2021
Djimini Senoufo	OT	dyi	Ivory Coast	2023
Esahie	OT	sfw	Ghana	2024
Ezaa	OT	eza	Nigeria	2024
Fanti	OT	fat	Ghana	2024
Fon	OT	fon	Benin	2024
Gbaya	OT	gya	Cameroon	2023
Gikuyu	OT	kik	Kenya	2020
Guiziga	OT	giz	Cameroon	2023
Gulmancema	OT	gux	Burkina Faso	2022
Gun	OT	guw	Benin	2024
Hindi	OT	hin	India	2021
Idoma	OT	idu	Nigeria	2021
Igala	OT	igl	Nigeria	2021
Igede	OT	ige	Nigeria	2022
Iraqw	OT	irk	Tanzania	2021
Jula	OT	dyu	Burkina Faso	2022
Kambera	OT	xbr	Indonesia	2023
Kapsiki	OT	kvj	Cameroon	2023
Keley-I Kallahan	OT	ify	Philippines	2025
Kiembu	OT	ebu	Kenya	2022
Kifuliiru (Fuliiru)	OT	flr	Democratic Republic of Congo	2023
Kimashami (Machame)	OT	jmc	Tanzania	2022
Kimeru	OT	mer	Kenya	2021
Kinandi	OT	nnb	Democratic Republic of Congo	2023
Kinyarwanda	OT	kin	Rwanda	2020
Kisi, Southern	OT	kis	Liberia	2020
Konkomba	OT	xon	Ghana	2020
Krio	OT	kri	Sierra Leone	2023
Kumam	OT	kdi	Uganda	2022
Kuranko	OT	knk	Sierra Leone	2023
Kusaal	OT	kus	Ghana	2023
Lango	OT	laj	Uganda	2022
Lelemi	OT	lef	Ghana	2024
Logooli	OT	rag	Kenya	2022
Lugbara	OT	lgg	Uganda	2021
Lukakamega	OT	lto	Kenya	2022
Lunyole (Nyore)	OT	nyd	Kenya	2022
Madura	OT	mad	Indonesia	2023
Makasar	OT	mak	Indonesia	2024
Malagasy Merina	OT	plt	Madagascar	2024
Masaaba (Lumasaaba)	OT	myx	Uganda	2020
Masana	OT	mcn	Cameroon	2023
Medumba	OT	byv	Cameroon	2023
Mende	OT	men	Sierra Leone	2023
Mentawai	OT	mwv	Indonesia	2023
Mina Gen	OT	gej	Togo	2023
Mochi	OT	old	Tanzania	2022
Moore (Mossi)	OT	mos	Burkina Faso	2022
Mori Bawah	OT	xmz	Indonesia	2024
Moundang	OT	mua	South Sudan	2022
Musgum	OT	mug	Cameroon	2023
Ng’akarmojong	OT	kdj	Uganda	2022
Nias	OT	nia	Indonesia	2021
Ntcham	OT	bud	Togo	2024
Nuer	OT	nus	South Sudan	2021
Nyakyusa-Ngonde	OT	nyy	Tanzania	2022
Okrika	OT	okr	Nigeria	2022
Oluluyia Wanga	OT	lwg	Kenya	2022
Oromo-West	OT	gaz	Ethipoia	2020
Pashto Northern	OT	pbu	Pakistan	2020
Pokot	OT	pko	Kenya	2022
Punu	OT	puu	Gabon	2023
Quechua Cuzco	OT	quz	Peru	2021
Quechua Huallaga	OT	qub	Peru	2022
Quechua Huaylas	OT	qwh	Peru	2022
Quechua Huaylla Wanca	OT	qvw	Peru	2022
Quechua Huamalies	OT	qvh	Peru	2021
Quechua Margos	OT	qvm	Peru	2024
Quechua North Conchucos	OT	qxn	Peru	2023
Quechua South Conchucos	OT	qxo	Peru	2023
Romani, Carpathian	OT	rmc	Slovakia	2024
Rote Termanu	OT	twu	Indonesia	2024
Rubassa	OT	bzw	Nigeria	2022
Ruhaya	OT	hay	Tanzania	2022
San	OT	sbd	Burkina Faso	2023
Sango	OT	sag	Central African Republic	2023
Sar	OT	mwm	Chad	2022
Senoufo Tagwana	OT	tgw	Ivory Coast	2024
Shilluk	OT	shk	South Sudan	2021
Somali	OT	som	Somalia	2014
Sukuma	OT	suk	Tanzania	2022
Taita	OT	dav	Kenya	2021
